Commit A,Commit B,Benchmark,Del Func >= X,New Func >= X,Reached Del Func >= X,Top Chg by Call >= X%,Top > X% by Call Chg by >= 10%,Top Chg Len >= X%,Top Reached Chg Len >= X%,AltCountLineBlank,CountLineInactive,MaxCyclomaticStrict,MaxNesting,AvgLineCode,AvgLineComment,Hit
d7e6b6a8,515360f9,p4000-diff-algorithms.sh-perf-report,555,306,8,1.17,1.17,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
d7e6b6a8,515360f9,p4001-diff-no-index.sh-perf-report,555,306,5,0.1,0.1,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
d7e6b6a8,515360f9,p4211-line-log.sh-perf-report,555,306,4,5.42,5.42,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
d7e6b6a8,515360f9,p5302-pack-index.sh-perf-report,555,306,13,36.25,36.25,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
d7e6b6a8,515360f9,p5303-many-packs.sh-perf-report,555,306,29,5.4,5.4,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
d7e6b6a8,515360f9,p5310-pack-bitmaps.sh-perf-report,555,306,19,11.31,11.31,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
d7e6b6a8,515360f9,p5550-fetch-tags.sh-perf-report,555,306,23,0.11,0.11,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
d7e6b6a8,515360f9,p7000-filter-branch.sh-perf-report,555,306,22,4.7,4.7,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
d7e6b6a8,515360f9,p7300-clean.sh-perf-report,555,306,7,0.43,0.15,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
d7e6b6a8,515360f9,p7810-grep.sh-perf-report,555,306,6,0.02,0.02,1,1,1433,429,7,0,0.360979006,-0.030821628,FALSE
db4eca1f,6a523d66,p0002-read-cache.sh-perf-report,262,509,0,0,0,1,1,-1381,-429,-7,0,-0.39945646,0.033734175,TRUE
db4eca1f,6a523d66,p4001-diff-no-index.sh-perf-report,262,509,0,0.11,0.11,1,1,-1381,-429,-7,0,-0.39945646,0.033734175,TRUE
db4eca1f,6a523d66,p7000-filter-branch.sh-perf-report,262,509,4,7.79,7.79,1,1,-1381,-429,-7,0,-0.39945646,0.033734175,TRUE
6a523d66,a17062cf,p0002-read-cache.sh-perf-report,40,42,0,0,0,1,0,-51,0,0,0,0.038477454,-0.002912547,TRUE
218c8837,6fa68ff2,p0002-read-cache.sh-perf-report,196,123,0,0,0,1,0,358,9,0,0,-0.003629125,-0.00133772,TRUE
016d66f5,0e6d899f,p0002-read-cache.sh-perf-report,211,119,0,0,0,1,0,646,504,7,0,0.318030247,-0.039542089,TRUE
0e6d899f,fa675ebd,p0000-perf-lib-sanity.sh-perf-report,233,398,3,0.05,0.05,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p0001-rev-list.sh-perf-report,233,398,3,0.13,0.13,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p0002-read-cache.sh-perf-report,233,398,0,0,0,1,0,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p0003-delta-base-cache.sh-perf-report,233,398,6,0.14,0.05,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p0071-sort.sh-perf-report,233,398,0,0,0,1,0.043478261,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p3400-rebase.sh-perf-report,233,398,9,3.53,3.53,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p3404-rebase-interactive.sh-perf-report,233,398,13,8.34,8.34,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p4000-diff-algorithms.sh-perf-report,233,398,6,0.06,0.02,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p4001-diff-no-index.sh-perf-report,233,398,1,0.07,0.07,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p4211-line-log.sh-perf-report,233,398,4,0,0,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p5302-pack-index.sh-perf-report,233,398,7,27.84,27.84,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p5303-many-packs.sh-perf-report,233,398,14,0.96,0.96,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
0e6d899f,fa675ebd,p5310-pack-bitmaps.sh-perf-report,233,398,13,6.2,6.2,1,1,-1004,-513,-7,0,-0.314401122,0.040879809,FALSE
